LLM_score,date,company
-1,2022-11-10T10:00:00+00:00,Biogen Inc
0,2022-11-10T10:00:00+00:00,CoStar Group Inc
0,2022-11-10T10:00:00+00:00,Ideanomics Inc
-1,2022-11-10T10:00:00+00:00,Inhibikase Therapeutics Inc
-1,2022-11-10T10:00:00+00:00,Verve Therapeutics Inc
1,2022-11-10T10:01:47+00:00,SunPower Corporation Common Stock
-1,2022-11-10T10:02:00+00:00,Zillow Group Inc
-1,2022-11-10T10:02:00+00:00,Zillow Group Inc
1,2022-11-10T10:02:30+00:00,IDEAYA Biosciences Inc
1,2022-11-10T10:04:13+00:00,South Plains Financial Inc
1,2022-11-10T10:04:34+00:00,Riverview Bancorp Inc Common Stock
0,2022-11-10T10:05:00+00:00,Texas Instruments Incorporated Common Stock
-1,2022-11-10T10:05:20+00:00,PacWest Bancorp Common Stock
1,2022-11-10T10:05:41+00:00,Electronic Arts Inc
0,2022-11-10T10:06:00+00:00,Novavax Inc
1,2022-11-10T10:06:22+00:00,Freshpet Inc
1,2022-11-10T10:08:53+00:00,4D Molecular Therapeutics Inc
1,2022-11-10T10:09:12+00:00,Arrow Financial Corporation Common Stock
-1,2022-11-10T10:09:36+00:00,Brighthouse Financial Inc
-1,2022-11-10T10:09:36+00:00,Brighthouse Financial Inc
-1,2022-11-10T10:09:36+00:00,Brighthouse Financial Inc
1,2022-11-10T10:09:55+00:00,NewtekOne Inc
0,2022-11-10T10:10:00+00:00,Hasbro Inc
0,2022-11-10T10:10:00+00:00,Paramount Global Class B Common Stock
0,2022-11-10T10:10:00+00:00,Viatris Inc
0,2022-11-10T10:10:12+00:00,Axsome Therapeutics Inc
1,2022-11-10T10:12:02+00:00,Heartland Financial USA Inc
-1,2022-11-10T10:13:48+00:00,Alector Inc
1,2022-11-10T10:14:31+00:00,Lincoln Educational Services Corporation Common Stock
1,2022-11-10T10:15:00+00:00,Airbnb Inc
1,2022-11-10T10:15:00+00:00,Cirrus Logic Inc
-1,2022-11-10T10:16:17+00:00,ADTRAN Holdings Inc
1,2022-11-10T10:16:56+00:00,Northwest Pipe Company Common Stock
1,2022-11-10T10:18:03+00:00,Foghorn Therapeutics Inc
0,2022-11-10T10:18:20+00:00,Western Digital Corporation Common Stock
1,2022-11-10T10:19:08+00:00,Washington Trust Bancorp Inc
-1,2022-11-10T10:20:00+00:00,Roku Inc
1,2022-11-10T10:20:10+00:00,PACCAR Inc
-1,2022-11-10T10:21:00+00:00,Moderna Inc
1,2022-11-10T10:21:57+00:00,Citi Trends Inc
1,2022-11-10T10:25:05+00:00,Park-Ohio Holdings Corp
1,2022-11-10T10:26:20+00:00,Voyager Therapeutics Inc
0,2022-11-10T10:26:46+00:00,Liberty Latin America Ltd
0,2022-11-10T10:26:46+00:00,Liberty Latin America Ltd
-1,2022-11-10T10:27:43+00:00,MKS Instruments Inc
0,2022-11-10T10:30:00+00:00,SoFi Technologies Inc
0,2022-11-10T10:30:10+00:00,Cracker Barrel Old Country Store Inc Common Stock
0,2022-11-10T10:30:10+00:00,Hostess Brands Inc
0,2022-11-10T10:30:10+00:00,LPL Financial Holdings Inc
0,2022-11-10T10:30:10+00:00,Wingstop Inc
1,2022-11-10T10:31:07+00:00,MannKind Corporation Common Stock
1,2022-11-10T10:32:01+00:00,Gladstone Land Corporation 5
1,2022-11-10T10:32:01+00:00,Gladstone Land Corporation Common Stock
1,2022-11-10T10:32:50+00:00,Revance Therapeutics Inc
1,2022-11-10T10:33:00+00:00,PubMatic Inc
1,2022-11-10T10:33:00+00:00,The Trade Desk Inc
1,2022-11-10T10:34:06+00:00,New Fortress Energy Inc
1,2022-11-10T10:38:49+00:00,Bioventus Inc
0,2022-11-10T10:39:00+00:00,Rivian Automotive Inc
1,2022-11-10T10:40:08+00:00,Sage Therapeutics Inc
1,2022-11-10T10:40:31+00:00,Avid Technology Inc
1,2022-11-10T10:42:14+00:00,Halozyme Therapeutics Inc
1,2022-11-10T10:43:56+00:00,American Public Education Inc
0,2022-11-10T10:44:23+00:00,Heron Therapeutics Inc
1,2022-11-10T10:44:48+00:00,Novavax Inc
1,2022-11-10T10:45:00+00:00,Dare Bioscience Inc
