LLM_score,date,company
0,2022-10-20T13:40:01+00:00,Barrett Business Services Inc
0,2022-10-20T13:40:01+00:00,DISH Network Corporation Class A Common Stock
0,2022-10-20T13:40:01+00:00,Deciphera Pharmaceuticals Inc
0,2022-10-20T13:40:01+00:00,Dynavax Technologies Corporation Common Stock
0,2022-10-20T13:40:01+00:00,Heidrick & Struggles International Inc
0,2022-10-20T13:40:01+00:00,Heritage-Crystal Clean Inc
0,2022-10-20T13:40:01+00:00,KVH Industries Inc
0,2022-10-20T13:40:01+00:00,Patterson-UTI Energy Inc
0,2022-10-20T13:40:01+00:00,SpartanNash Company Common Stock
0,2022-10-20T13:40:01+00:00,SpartanNash Company Common Stock
0,2022-10-20T13:40:01+00:00,Vanda Pharmaceuticals Inc
1,2022-10-20T13:45:01+00:00,BCB Bancorp Inc
1,2022-10-20T13:45:01+00:00,WesBanco Inc
0,2022-10-20T13:47:10+00:00,Caesars Entertainment Inc
0,2022-10-20T13:47:34+00:00,Roper Technologies Inc
0,2022-10-20T13:48:01+00:00,F5 Inc
0,2022-10-20T13:49:00+00:00,Peoples Financial Services Corp
0,2022-10-20T13:50:47+00:00,Caesars Entertainment Inc
0,2022-10-20T13:53:00+00:00,Intuitive Surgical Inc
1,2022-10-20T13:55:01+00:00,United Airlines Holdings Inc
1,2022-10-20T13:55:47+00:00,Cal-Maine Foods Inc
0,2022-10-20T14:00:00+00:00,Calumet Specialty Products Partners L
0,2022-10-20T14:00:00+00:00,Comcast Corporation Class A Common Stock
0,2022-10-20T14:00:00+00:00,First Merchants Corporation Common Stock
1,2022-10-20T14:00:00+00:00,Starbucks Corporation Common Stock
1,2022-10-20T14:00:00+00:00,Xerox Holdings Corporation Common Stock
0,2022-10-20T14:00:02+00:00,Washington Federal Inc
1,2022-10-20T14:01:02+00:00,Align Technology Inc
1,2022-10-20T14:01:02+00:00,Columbia Sportswear Company Common Stock
1,2022-10-20T14:01:02+00:00,DexCom Inc
-1,2022-10-20T14:01:02+00:00,Insmed Incorporated Common Stock
1,2022-10-20T14:01:02+00:00,Integra LifeSciences Holdings Corporation Common Stock
0,2022-10-20T14:01:02+00:00,Keurig Dr Pepper Inc
1,2022-10-20T14:01:02+00:00,LKQ Corporation Common Stock
-1,2022-10-20T14:01:02+00:00,T
1,2022-10-20T14:01:02+00:00,Texas Roadhouse Inc
1,2022-10-20T14:01:02+00:00,Vertex Pharmaceuticals Incorporated Common Stock
-1,2022-10-20T14:01:02+00:00,Wingstop Inc
1,2022-10-20T14:02:02+00:00,8x8 Inc Common Stock
-1,2022-10-20T14:02:02+00:00,Alerus Financial Corporation Common Stock
-1,2022-10-20T14:02:02+00:00,Alnylam Pharmaceuticals Inc
1,2022-10-20T14:02:02+00:00,Ameris Bancorp Common Stock
0,2022-10-20T14:02:02+00:00,Ares Capital Corporation Common Stock
0,2022-10-20T14:02:02+00:00,BioMarin Pharmaceutical Inc
0,2022-10-20T14:02:02+00:00,Bridgewater Bancshares Inc
1,2022-10-20T14:02:02+00:00,Casella Waste Systems Inc
1,2022-10-20T14:02:02+00:00,Civista Bancshares Inc
-1,2022-10-20T14:02:02+00:00,Columbus McKinnon Corporation Common Stock
1,2022-10-20T14:02:02+00:00,Comcast Corporation Class A Common Stock
1,2022-10-20T14:02:02+00:00,Driven Brands Holdings Inc
-1,2022-10-20T14:02:02+00:00,Financial Institutions Inc
1,2022-10-20T14:02:02+00:00,First Busey Corporation Class A Common Stock
1,2022-10-20T14:02:02+00:00,First Business Financial Services Inc
1,2022-10-20T14:02:02+00:00,First Citizens BancShares Inc
1,2022-10-20T14:02:02+00:00,First Citizens BancShares Inc
1,2022-10-20T14:02:02+00:00,First Merchants Corporation Common Stock
-1,2022-10-20T14:02:02+00:00,Gilead Sciences Inc
1,2022-10-20T14:02:02+00:00,Honeywell International Inc
1,2022-10-20T14:02:02+00:00,Hub Group Inc
-1,2022-10-20T14:02:02+00:00,Innoviva Inc
1,2022-10-20T14:02:02+00:00,JAKKS Pacific Inc
1,2022-10-20T14:02:02+00:00,LPL Financial Holdings Inc
