LLM_score,date,company
1,2022-07-22T20:52:51+00:00,iRhythm Technologies Inc
-1,2022-07-22T20:55:50+00:00,LendingTree Inc
0,2022-07-22T21:00:00+00:00,B
0,2022-07-22T21:00:00+00:00,B
0,2022-07-22T21:00:00+00:00,B
0,2022-07-22T21:00:00+00:00,Johnson Outdoors Inc
0,2022-07-22T21:00:00+00:00,Verra Mobility Corporation Class A Common Stock
0,2022-07-22T21:05:47+00:00,Axcelis Technologies Inc
0,2022-07-22T21:05:47+00:00,ShockWave Medical Inc
-1,2022-07-22T21:05:52+00:00,T-Mobile US Inc
0,2022-07-22T21:06:00+00:00,SunPower Corporation Common Stock
-1,2022-07-22T21:06:00+00:00,Sunrun Inc
0,2022-07-22T21:15:00+00:00,Iovance Biotherapeutics Inc
0,2022-07-22T21:23:45+00:00,Dollar Tree Inc
0,2022-07-22T21:28:26+00:00,DocuSign Inc
0,2022-07-22T21:44:17+00:00,Intuitive Surgical Inc
1,2022-07-22T21:45:09+00:00,Etsy Inc
0,2022-07-22T21:45:09+00:00,Pilgrim's Pride Corporation Common Stock
1,2022-07-22T21:50:09+00:00,Amgen Inc
-1,2022-07-22T21:50:09+00:00,ArcBest Corporation Common Stock
-1,2022-07-22T21:50:09+00:00,Crocs Inc
-1,2022-07-22T21:50:09+00:00,Fortinet Inc
0,2022-07-22T21:50:09+00:00,Marriott International Class A Common Stock
-1,2022-07-22T21:50:09+00:00,Rimini Street Inc
1,2022-07-22T21:50:09+00:00,The Kraft Heinz Company Common Stock
-1,2022-07-22T21:51:00+00:00,CSX Corporation Common Stock
1,2022-07-22T21:55:00+00:00,Novavax Inc
0,2022-07-22T22:00:10+00:00,Ares Capital Corporation Common Stock
-1,2022-07-22T22:00:10+00:00,T
0,2022-07-22T22:15:00+00:00,Hasbro Inc
0,2022-07-22T22:15:00+00:00,Paramount Global Class A Common Stock
0,2022-07-22T22:15:00+00:00,Paramount Global Class B Common Stock
1,2022-07-22T22:15:10+00:00,Assertio Holdings Inc
-1,2022-07-22T22:15:10+00:00,Autodesk Inc
1,2022-07-22T22:15:10+00:00,Intuit Inc
0,2022-07-22T22:37:00+00:00,Consumer Portfolio Services Inc
-1,2022-07-22T22:40:54+00:00,T-Mobile US Inc
0,2022-07-22T22:43:00+00:00,Axsome Therapeutics Inc
-1,2022-07-22T22:45:00+00:00,CSX Corporation Common Stock
-1,2022-07-22T22:51:36+00:00,T-Mobile US Inc
0,2022-07-22T23:00:00+00:00,Canoo Inc
1,2022-07-22T23:00:00+00:00,Faraday Future Intelligent Electric Inc
0,2022-07-22T23:47:56+00:00,CVB Financial Corporation Common Stock
-1,2022-07-22T23:50:00+00:00,Outset Medical Inc
0,2022-07-22T23:57:33+00:00,SoFi Technologies Inc
0,2022-07-22T23:57:33+00:00,The RealReal Inc
-1,2022-07-23T00:57:00+00:00,Viatris Inc
0,2022-07-23T01:19:00+00:00,GlobalFoundries Inc
0,2022-07-23T09:21:00+00:00,Upstart Holdings Inc
0,2022-07-23T09:58:00+00:00,Axsome Therapeutics Inc
0,2022-07-23T09:58:00+00:00,Maravai LifeSciences Holdings Inc
0,2022-07-23T10:36:00+00:00,PepsiCo Inc
0,2022-07-23T10:45:00+00:00,Autodesk Inc
1,2022-07-23T10:50:00+00:00,Intuitive Surgical Inc
1,2022-07-23T10:55:00+00:00,Rivian Automotive Inc
0,2022-07-23T11:00:00+00:00,Uniti Group Inc
0,2022-07-23T11:13:00+00:00,Micron Technology Inc
1,2022-07-23T11:15:00+00:00,Rivian Automotive Inc
0,2022-07-23T11:30:00+00:00,MKS Instruments Inc
1,2022-07-23T12:00:00+00:00,Crocs Inc
0,2022-07-23T12:00:00+00:00,Etsy Inc
0,2022-07-23T12:00:00+00:00,Incyte Corp
0,2022-07-23T12:02:42+00:00,Amgen Inc
0,2022-07-23T12:02:42+00:00,Fortinet Inc
0,2022-07-23T12:02:42+00:00,Neurocrine Biosciences Inc
0,2022-07-23T12:02:42+00:00,Ulta Beauty Inc
1,2022-07-23T12:06:56+00:00,S&T Bancorp Inc
1,2022-07-23T12:18:23+00:00,Orrstown Financial Services Inc Common Stock
1,2022-07-23T12:22:09+00:00,Healthcare Services Group Inc
0,2022-07-23T12:30:00+00:00,Broadcom Inc
1,2022-07-23T12:35:28+00:00,Bankwell Financial Group Inc
1,2022-07-23T12:36:21+00:00,Northern Trust Corporation Common Stock
1,2022-07-23T12:36:21+00:00,Northern Trust Corporation Depositary Shares Each Representing a 1/1000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock
0,2022-07-23T12:40:22+00:00,Daktronics Inc
1,2022-07-23T12:42:43+00:00,Northern Technologies International Corporation Common Stock
1,2022-07-23T12:49:11+00:00,Greene County Bancorp Inc
0,2022-07-23T12:57:00+00:00,Coinbase Global Inc
0,2022-07-23T13:00:00+00:00,QUALCOMM Incorporated Common Stock
0,2022-07-23T13:07:42+00:00,Aspen Technology Inc
-1,2022-07-23T13:10:00+00:00,United Airlines Holdings Inc
0,2022-07-23T13:15:08+00:00,PetMed Express Inc
0,2022-07-23T13:20:04+00:00,OneWater Marine Inc
1,2022-07-23T13:27:30+00:00,Fortress Biotech Inc
1,2022-07-23T13:27:30+00:00,Fortress Biotech Inc
1,2022-07-23T13:37:27+00:00,York Water Company (The) Common Stock
0,2022-07-23T13:40:00+00:00,Okta Inc
-1,2022-07-23T13:47:00+00:00,Zoom Video Communications Inc
0,2022-07-23T13:47:22+00:00,SunPower Corporation Common Stock
1,2022-07-23T13:57:18+00:00,Champions Oncology Inc
0,2022-07-23T13:59:46+00:00,Huntington Bancshares Incorporated Common Stock
0,2022-07-23T13:59:46+00:00,Huntington Bancshares Incorporated Depositary Shares 4
0,2022-07-23T14:05:00+00:00,Celsius Holdings Inc
0,2022-07-23T14:05:00+00:00,Monster Beverage Corporation
0,2022-07-23T14:05:00+00:00,PepsiCo Inc
-1,2022-07-23T14:14:00+00:00,DENTSPLY SIRONA Inc
0,2022-07-23T14:30:21+00:00,DraftKings Inc
0,2022-07-23T14:30:21+00:00,Riot Platforms Inc
0,2022-07-23T14:30:21+00:00,TuSimple Holdings Inc
0,2022-07-23T14:47:00+00:00,Caesars Entertainment Inc
1,2022-07-23T15:47:00+00:00,Celsius Holdings Inc
0,2022-07-23T16:00:17+00:00,Paramount Global Class B Common Stock
0,2022-07-23T16:13:30+00:00,Match Group Inc
0,2022-07-23T16:14:05+00:00,Charter Communications Inc
1,2022-07-23T16:16:21+00:00,The Trade Desk Inc
-1,2022-07-23T16:35:29+00:00,Beyond Meat Inc
0,2022-07-23T16:37:00+00:00,Rivian Automotive Inc
-1,2022-07-23T17:01:00+00:00,Inotiv Inc
0,2022-07-23T17:44:56+00:00,Texas Instruments Incorporated Common Stock
0,2022-07-23T18:30:00+00:00,Texas Instruments Incorporated Common Stock
-1,2022-07-23T21:00:00+00:00,DENTSPLY SIRONA Inc
-1,2022-07-23T21:31:00+00:00,Lucid Group Inc
-1,2022-07-23T23:00:00+00:00,Apyx Medical Corporation Common Stock
0,2022-07-23T23:40:00+00:00,Outset Medical Inc
-1,2022-07-24T00:30:00+00:00,Digital Turbine Inc
0,2022-07-24T08:05:17+00:00,Automatic Data Processing Inc
0,2022-07-24T08:05:17+00:00,Charter Communications Inc
0,2022-07-24T08:05:17+00:00,Comcast Corporation Class A Common Stock
0,2022-07-24T08:05:17+00:00,DexCom Inc
0,2022-07-24T08:05:17+00:00,Equinix Inc
0,2022-07-24T08:05:17+00:00,F5 Inc
0,2022-07-24T08:05:17+00:00,Honeywell International Inc
0,2022-07-24T08:05:17+00:00,KLA Corporation Common Stock
0,2022-07-24T08:05:17+00:00,Mondelez International Inc
0,2022-07-24T08:05:17+00:00,O'Reilly Automotive Inc
0,2022-07-24T08:05:17+00:00,QUALCOMM Incorporated Common Stock
0,2022-07-24T08:05:17+00:00,Rivian Automotive Inc
0,2022-07-24T08:05:17+00:00,T-Mobile US Inc
