LLM_score,date,company
0,2023-03-22T10:30:00+00:00,Sage Therapeutics Inc
0,2023-03-22T10:30:14+00:00,Exact Sciences Corporation Common Stock
0,2023-03-22T10:31:00+00:00,Aehr Test Systems Common Stock
1,2023-03-22T10:32:27+00:00,Purple Innovation Inc
1,2023-03-22T10:34:04+00:00,American Public Education Inc
-1,2023-03-22T10:34:36+00:00,Patterson-UTI Energy Inc
0,2023-03-22T10:34:53+00:00,Stratasys Ltd
0,2023-03-22T10:36:27+00:00,EZCORP Inc
-1,2023-03-22T10:42:00+00:00,Moderna Inc
0,2023-03-22T10:45:00+00:00,Pyxis Oncology Inc
0,2023-03-22T10:48:00+00:00,Cisco Systems Inc
0,2023-03-22T10:48:00+00:00,Texas Instruments Incorporated Common Stock
1,2023-03-22T10:52:10+00:00,Adobe Inc
0,2023-03-22T10:56:00+00:00,Roku Inc
0,2023-03-22T10:56:00+00:00,Zoom Video Communications Inc
0,2023-03-22T10:57:21+00:00,PacWest Bancorp Common Stock
0,2023-03-22T10:58:10+00:00,Microchip Technology Incorporated Common Stock
1,2023-03-22T10:58:30+00:00,TriCo Bancshares Common Stock
1,2023-03-22T11:00:00+00:00,89bio Inc
1,2023-03-22T11:00:00+00:00,Origin Materials Inc
1,2023-03-22T11:00:00+00:00,Petco Health and Wellness Company Inc
-1,2023-03-22T11:00:00+00:00,Redfin Corporation Common Stock
1,2023-03-22T11:00:00+00:00,Regeneron Pharmaceuticals Inc
0,2023-03-22T11:00:00+00:00,Travelzoo Common Stock
1,2023-03-22T11:00:00+00:00,Vigil Neuroscience Inc
1,2023-03-22T11:00:21+00:00,Dollar Tree Inc
0,2023-03-22T11:01:00+00:00,Advanced Micro Devices Inc
0,2023-03-22T11:02:36+00:00,HealthEquity Inc
0,2023-03-22T11:05:00+00:00,Charge Enterprises Inc
1,2023-03-22T11:05:00+00:00,Extreme Networks Inc
0,2023-03-22T11:05:15+00:00,MidWestOne Financial Gp Common Stock
0,2023-03-22T11:05:35+00:00,Aehr Test Systems Common Stock
1,2023-03-22T11:06:54+00:00,SCYNEXIS Inc
1,2023-03-22T11:15:00+00:00,Freshpet Inc
1,2023-03-22T11:15:00+00:00,Petco Health and Wellness Company Inc
0,2023-03-22T11:17:09+00:00,Eton Pharmaceuticals Inc
0,2023-03-22T11:20:00+00:00,SoFi Technologies Inc
0,2023-03-22T11:21:11+00:00,Intel Corporation Common Stock
-1,2023-03-22T11:22:39+00:00,Broadcom Inc
-1,2023-03-22T11:23:52+00:00,American Public Education Inc
-1,2023-03-22T11:25:06+00:00,Broadcom Inc
1,2023-03-22T11:26:11+00:00,Bank OZK Common Stock
1,2023-03-22T11:26:19+00:00,Regeneron Pharmaceuticals Inc
1,2023-03-22T11:29:11+00:00,SunPower Corporation Common Stock
1,2023-03-22T11:29:11+00:00,Sunrun Inc
1,2023-03-22T11:29:28+00:00,Hudson Technologies Inc
0,2023-03-22T11:30:00+00:00,Netflix Inc
0,2023-03-22T11:30:00+00:00,Ollie's Bargain Outlet Holdings Inc
1,2023-03-22T11:30:00+00:00,Syneos Health Inc
1,2023-03-22T11:33:11+00:00,The Joint Corp
0,2023-03-22T11:35:06+00:00,Semtech Corporation Common Stock
0,2023-03-22T11:35:22+00:00,PacWest Bancorp Common Stock
-1,2023-03-22T11:35:45+00:00,Meta Platforms Inc
-1,2023-03-22T11:37:00+00:00,Moderna Inc
0,2023-03-22T11:37:09+00:00,Cue Biopharma Inc
0,2023-03-22T11:37:11+00:00,Ligand Pharmaceuticals Incorporated Common Stock
0,2023-03-22T11:37:11+00:00,Theseus Pharmaceuticals Inc
