LLM_score,date,company
1,2023-01-18T17:50:17+00:00,Vertex Pharmaceuticals Incorporated Common Stock
-1,2023-01-18T17:52:47+00:00,Take-Two Interactive Software Inc
1,2023-01-18T17:55:43+00:00,Newell Brands Inc
0,2023-01-18T18:00:00+00:00,Bank OZK 4
0,2023-01-18T18:00:00+00:00,Bank OZK Common Stock
1,2023-01-18T18:00:00+00:00,Blink Charging Co
0,2023-01-18T18:00:00+00:00,Booking Holdings Inc
-1,2023-01-18T18:00:00+00:00,NeoGenomics Inc
-1,2023-01-18T18:00:00+00:00,Twist Bioscience Corporation Common Stock
-1,2023-01-18T18:00:00+00:00,Veru Inc
