LLM_score,date,company
1,2022-07-28T16:10:09+00:00,Constellation Energy Corporation Common Stock 
1,2022-07-28T16:10:09+00:00,Etsy Inc
1,2022-07-28T16:10:09+00:00,JetBlue Airways Corporation Common Stock
0,2022-07-28T16:10:09+00:00,Plug Power Inc
1,2022-07-28T16:10:09+00:00,QUALCOMM Incorporated Common Stock
1,2022-07-28T16:10:09+00:00,Sunrun Inc
0,2022-07-28T16:10:14+00:00,Urban Outfitters Inc
1,2022-07-28T16:11:04+00:00,Regeneron Pharmaceuticals Inc
1,2022-07-28T16:12:21+00:00,Clean Energy Fuels Corp
1,2022-07-28T16:12:21+00:00,Plug Power Inc
1,2022-07-28T16:14:00+00:00,Seagen Inc
-1,2022-07-28T16:16:45+00:00,Etsy Inc
0,2022-07-28T16:20:04+00:00,Assertio Holdings Inc
1,2022-07-28T16:20:04+00:00,East West Bancorp Inc
1,2022-07-28T16:20:04+00:00,Esquire Financial Holdings Inc
1,2022-07-28T16:20:04+00:00,Heartland Express Inc
1,2022-07-28T16:20:04+00:00,Preferred Bank Common Stock
1,2022-07-28T16:20:04+00:00,WesBanco Inc
0,2022-07-28T16:20:26+00:00,Overstock
1,2022-07-28T16:23:39+00:00,SkyWater Technology Inc
0,2022-07-28T16:28:24+00:00,Seagen Inc
0,2022-07-28T16:29:00+00:00,Nikola Corporation Common Stock
0,2022-07-28T16:29:00+00:00,Plug Power Inc
0,2022-07-28T16:29:00+00:00,Sunrun Inc
-1,2022-07-28T16:29:18+00:00,Enphase Energy Inc
1,2022-07-28T16:29:25+00:00,Nikola Corporation Common Stock
0,2022-07-28T16:33:30+00:00,JetBlue Airways Corporation Common Stock
1,2022-07-28T16:36:00+00:00,Frontier Group Holdings Inc
-1,2022-07-28T16:36:00+00:00,JetBlue Airways Corporation Common Stock
1,2022-07-28T16:38:04+00:00,Pilgrim's Pride Corporation Common Stock
1,2022-07-28T16:40:00+00:00,Eastern Company (The) Common Stock
1,2022-07-28T16:45:04+00:00,Coastal Financial Corporation Common Stock
-1,2022-07-28T16:49:04+00:00,T
-1,2022-07-28T16:50:04+00:00,Medpace Holdings Inc
-1,2022-07-28T16:50:04+00:00,Neogen Corporation Common Stock
1,2022-07-28T16:51:11+00:00,Avis Budget Group Inc
0,2022-07-28T16:51:11+00:00,Hertz Global Holdings Inc Common Stock
1,2022-07-28T16:52:00+00:00,Overstock
1,2022-07-28T16:57:04+00:00,FormFactor Inc
1,2022-07-28T16:57:30+00:00,Sleep Number Corporation Common Stock
1,2022-07-28T17:00:00+00:00,Woodward Inc
1,2022-07-28T17:00:05+00:00,Plexus Corp
1,2022-07-28T17:00:05+00:00,Synopsys Inc
0,2022-07-28T17:00:09+00:00,Illumina Inc
0,2022-07-28T17:00:45+00:00,LKQ Corporation Common Stock
1,2022-07-28T17:01:05+00:00,Honeywell International Inc
-1,2022-07-28T17:02:18+00:00,Comcast Corporation Class A Common Stock
1,2022-07-28T17:07:05+00:00,Comcast Corporation Class A Common Stock
1,2022-07-28T17:08:30+00:00,Honeywell International Inc
1,2022-07-28T17:09:05+00:00,QUALCOMM Incorporated Common Stock
1,2022-07-28T17:12:05+00:00,G-III Apparel Group LTD
-1,2022-07-28T17:12:11+00:00,Lucid Group Inc
0,2022-07-28T17:12:35+00:00,Keurig Dr Pepper Inc
-1,2022-07-28T17:12:43+00:00,Beyond Meat Inc
1,2022-07-28T17:14:05+00:00,Hologic Inc
-1,2022-07-28T17:14:05+00:00,Medpace Holdings Inc
-1,2022-07-28T17:14:05+00:00,Neogen Corporation Common Stock
1,2022-07-28T17:15:05+00:00,Medpace Holdings Inc
1,2022-07-28T17:15:05+00:00,Neogen Corporation Common Stock
1,2022-07-28T17:15:09+00:00,Impinj Inc
-1,2022-07-28T17:20:55+00:00,Upwork Inc
1,2022-07-28T17:26:50+00:00,First Solar Inc
1,2022-07-28T17:26:50+00:00,TPI Composites Inc
1,2022-07-28T17:28:26+00:00,First Solar Inc
1,2022-07-28T17:28:26+00:00,SunPower Corporation Common Stock
1,2022-07-28T17:28:26+00:00,Sunrun Inc
1,2022-07-28T17:30:00+00:00,Gilead Sciences Inc
0,2022-07-28T17:30:44+00:00,Allegro MicroSystems Inc
0,2022-07-28T17:33:00+00:00,Anterix Inc
0,2022-07-28T17:34:05+00:00,TuSimple Holdings Inc
0,2022-07-28T17:34:05+00:00,Verisk Analytics Inc
-1,2022-07-28T17:43:00+00:00,Comcast Corporation Class A Common Stock
1,2022-07-28T17:43:05+00:00,Rivian Automotive Inc
0,2022-07-28T17:43:38+00:00,Savara Inc
-1,2022-07-28T17:45:00+00:00,Apyx Medical Corporation Common Stock
1,2022-07-28T17:47:36+00:00,NETGEAR Inc
0,2022-07-28T17:48:00+00:00,Coinbase Global Inc
0,2022-07-28T17:48:00+00:00,MicroStrategy Incorporated Common Stock Class A
0,2022-07-28T17:48:00+00:00,Overstock
0,2022-07-28T17:48:00+00:00,Riot Platforms Inc
-1,2022-07-28T17:49:04+00:00,Children's Place Inc
0,2022-07-28T17:50:00+00:00,Huntington Bancshares Incorporated Common Stock
0,2022-07-28T17:50:00+00:00,Huntington Bancshares Incorporated Depositary Shares 4
0,2022-07-28T17:50:05+00:00,TuSimple Holdings Inc
-1,2022-07-28T17:55:10+00:00,American Airlines Group Inc
-1,2022-07-28T17:55:10+00:00,JetBlue Airways Corporation Common Stock
1,2022-07-28T17:55:30+00:00,Constellation Energy Corporation Common Stock 
1,2022-07-28T17:55:30+00:00,Exelon Corporation Common Stock
0,2022-07-28T17:57:00+00:00,iRadimed Corporation Common Stock
0,2022-07-28T17:57:05+00:00,Bassett Furniture Industries Incorporated Common Stock
0,2022-07-28T17:58:05+00:00,TuSimple Holdings Inc
1,2022-07-28T17:59:00+00:00,Exelon Corporation Common Stock
1,2022-07-28T18:00:00+00:00,Exelon Corporation Common Stock
1,2022-07-28T18:07:00+00:00,Funko Inc
1,2022-07-28T18:13:25+00:00,Etsy Inc
1,2022-07-28T18:16:00+00:00,Enphase Energy Inc
1,2022-07-28T18:24:15+00:00,Enphase Energy Inc
0,2022-07-28T18:30:28+00:00,Honeywell International Inc
1,2022-07-28T18:34:06+00:00,Texas Instruments Incorporated Common Stock
1,2022-07-28T18:39:50+00:00,Wingstop Inc
1,2022-07-28T18:40:00+00:00,Paychex Inc
1,2022-07-28T18:50:00+00:00,First Solar Inc
0,2022-07-28T18:52:06+00:00,SoFi Technologies Inc
0,2022-07-28T18:52:06+00:00,TuSimple Holdings Inc
1,2022-07-28T18:58:00+00:00,JetBlue Airways Corporation Common Stock
1,2022-07-28T19:02:09+00:00,Honeywell International Inc
0,2022-07-28T19:05:09+00:00,American Airlines Group Inc
0,2022-07-28T19:05:09+00:00,Frontier Group Holdings Inc
0,2022-07-28T19:05:09+00:00,JetBlue Airways Corporation Common Stock
1,2022-07-28T19:08:00+00:00,Redfin Corporation Common Stock
1,2022-07-28T19:09:02+00:00,Gilead Sciences Inc
-1,2022-07-28T19:15:00+00:00,DENTSPLY SIRONA Inc
-1,2022-07-28T19:17:13+00:00,Pegasystems Inc
1,2022-07-28T19:19:06+00:00,Blink Charging Co
-1,2022-07-28T19:20:04+00:00,Fate Therapeutics Inc
1,2022-07-28T19:23:00+00:00,Western Digital Corporation Common Stock
-1,2022-07-28T19:24:00+00:00,Lyft Inc
0,2022-07-28T19:24:03+00:00,DexCom Inc
0,2022-07-28T19:24:03+00:00,Roku Inc
1,2022-07-28T19:24:21+00:00,Capital Bancorp Inc
1,2022-07-28T19:24:21+00:00,ProPhase Labs Inc
1,2022-07-28T19:24:21+00:00,RBB Bancorp Common Stock
1,2022-07-28T19:24:21+00:00,Shore Bancshares Inc Common Stock
-1,2022-07-28T19:25:00+00:00,Comcast Corporation Class A Common Stock
0,2022-07-28T19:30:09+00:00,Mondelez International Inc
1,2022-07-28T19:30:23+00:00,Micron Technology Inc
1,2022-07-28T19:30:23+00:00,QUALCOMM Incorporated Common Stock
1,2022-07-28T19:30:23+00:00,Texas Instruments Incorporated Common Stock
1,2022-07-28T19:30:58+00:00,SKYX Platforms Corp
0,2022-07-28T19:36:00+00:00,Cavco Industries Inc
-1,2022-07-28T19:40:00+00:00,TG Therapeutics Inc
0,2022-07-28T19:40:22+00:00,10x Genomics Inc
0,2022-07-28T19:40:22+00:00,Exact Sciences Corporation Common Stock
0,2022-07-28T19:40:22+00:00,Intuit Inc
0,2022-07-28T19:40:22+00:00,Recursion Pharmaceuticals Inc
0,2022-07-28T19:40:22+00:00,Roku Inc
0,2022-07-28T19:40:22+00:00,Trimble Inc
0,2022-07-28T19:40:22+00:00,Zoom Video Communications Inc
-1,2022-07-28T19:52:00+00:00,The Carlyle Group Inc
1,2022-07-28T19:57:19+00:00,American Airlines Group Inc
0,2022-07-28T19:57:19+00:00,United Airlines Holdings Inc
-1,2022-07-28T19:59:43+00:00,Comcast Corporation Class A Common Stock
0,2022-07-28T20:00:00+00:00,Curis Inc
1,2022-07-28T20:00:00+00:00,First Business Financial Services Inc
0,2022-07-28T20:00:00+00:00,Intuit Inc
0,2022-07-28T20:00:38+00:00,Overstock
0,2022-07-28T20:01:00+00:00,2U Inc
0,2022-07-28T20:01:00+00:00,B
0,2022-07-28T20:01:00+00:00,B
0,2022-07-28T20:01:00+00:00,B
0,2022-07-28T20:01:00+00:00,Bionano Genomics Inc
0,2022-07-28T20:01:00+00:00,Coherus BioSciences Inc
0,2022-07-28T20:01:00+00:00,Eargo Inc
