LLM_score,date,company
1,2022-11-21T22:15:00+00:00,First Guaranty Bancshares Inc
-1,2022-11-21T22:15:10+00:00,Enanta Pharmaceuticals Inc
0,2022-11-21T22:19:00+00:00,Hasbro Inc
0,2022-11-21T22:20:00+00:00,Cross Country Healthcare Inc
-1,2022-11-21T22:25:10+00:00,Urban Outfitters Inc
1,2022-11-21T22:25:10+00:00,Zoom Video Communications Inc
1,2022-11-21T22:25:39+00:00,Puma Biotechnology Inc Common Stock
-1,2022-11-21T22:34:00+00:00,Paramount Global Class A Common Stock
-1,2022-11-21T22:34:00+00:00,Paramount Global Class B Common Stock
-1,2022-11-21T22:35:10+00:00,Central Garden & Pet Company Class A Common Stock Nonvoting
-1,2022-11-21T22:35:10+00:00,Central Garden & Pet Company Class A Common Stock Nonvoting
-1,2022-11-21T22:35:10+00:00,Central Garden & Pet Company Common Stock
-1,2022-11-21T22:35:10+00:00,Central Garden & Pet Company Common Stock
1,2022-11-21T22:35:10+00:00,Golub Capital BDC Inc
-1,2022-11-21T22:41:37+00:00,Zoom Video Communications Inc
1,2022-11-21T22:45:00+00:00,Tenaya Therapeutics Inc
1,2022-11-21T22:45:10+00:00,Broadcom Inc
1,2022-11-21T22:45:10+00:00,Cracker Barrel Old Country Store Inc Common Stock
-1,2022-11-21T22:52:00+00:00,Rent the Runway Inc
-1,2022-11-21T22:55:38+00:00,Zoom Video Communications Inc
0,2022-11-21T22:59:59+00:00,Urban Outfitters Inc
0,2022-11-21T22:59:59+00:00,Zoom Video Communications Inc
0,2022-11-21T23:00:00+00:00,ArrowMark Financial Corp
0,2022-11-21T23:00:11+00:00,Synopsys Inc
0,2022-11-21T23:00:11+00:00,Titan Machinery Inc
-1,2022-11-21T23:10:39+00:00,Veru Inc
1,2022-11-21T23:15:00+00:00,Urban Outfitters Inc
-1,2022-11-21T23:15:28+00:00,Novavax Inc
1,2022-11-21T23:18:11+00:00,Dollar Tree Inc
-1,2022-11-21T23:23:07+00:00,Zoom Video Communications Inc
1,2022-11-21T23:31:56+00:00,New Fortress Energy Inc
0,2022-11-21T23:35:23+00:00,Nordson Corporation Common Stock
0,2022-11-21T23:35:23+00:00,PepsiCo Inc
-1,2022-11-21T23:51:27+00:00,Icahn Enterprises L
0,2022-11-22T00:02:00+00:00,Sabre Corporation 6
0,2022-11-22T00:02:00+00:00,Sabre Corporation Common Stock
-1,2022-11-22T00:27:00+00:00,Rent the Runway Inc
1,2022-11-22T00:27:02+00:00,Automatic Data Processing Inc
-1,2022-11-22T00:36:42+00:00,Syneos Health Inc
0,2022-11-22T00:37:55+00:00,Pinnacle Financial Partners Inc
0,2022-11-22T00:51:08+00:00,DocuSign Inc
